Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2023misjo,frc1940,1940,2023misjo-1940,Tech Tigers 1940,Pit Scouting_Images/b6be9cc4.Picture.135502.jpg,Tank,Fast,,12.33,0.24,21.65%,0.75,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0,1.5,0,0.75,58.33%,0.00%,2.06,1.5,7,11,1,0,2,2,0,8,180s,Cube,Cube,,,0.28,3.83,0.6666666667,7.0,1.58,12.31,,
2023misjo,frc2767,2767,2023misjo-2767,Stryke Force,Pit Scouting_Images/72695406.Picture.144351.jpg,Swerve,Fast,,43.33,0.87,47.40%,5.08,3.83,1.25,1.25,4.50,2.17,0.83,0.42,3.83,11.58,2.83,3,0.83,100.00%,8.00%,15.25,14.42,8.33,4,7,1,0,2,1,9,35.25s,Cone,Neither,,,0.58,7.00,5.666666667,8.3,2.67,41.00,,
2023misjo,frc2959,2959,2023misjo-2959,Robotarians,,Swerve,Defense,Good defense because of swerve drive,14.08,0.53,22.75%,1.83,1.17,0.67,0.75,2.08,1.00,0.50,0.25,1.08,1.58,1.08,0.67,0.42,83.33%,0.00%,4.33,2.67,4.17,12,0,0,3,3,4,2,125s,Cube,Neither,,,0.25,2.08,0,4.2,1.00,13.67,,
2023misjo,frc3452,3452,2023misjo-3452,GreengineerZ,Pit Scouting_Images/a666b168.Picture.134128.jpg,Swerve,Crazy,,11.00,0.32,19.99%,1,0.92,0.08,0.00,0.00,0.00,0.00,0.00,1,2.33,0.17,0.92,0.08,66.67%,0.00%,2.33,2.5,4.33,11,1,0,4,3,1,4,135s,Cube,Cone ,,,0.33,2.50,0.6666666667,4.3,1.00,11.17,,
2023misjo,frc3604,3604,2023misjo-3604,Goon Squad,,Swerve,"dAVE (heavy, big)","Spaghetti pickup, cube pickup is good",19.25,0.42,31.01%,3,0.75,2.25,0.50,1.50,0.50,0.42,0.08,2.5,0.67,8.42,0.33,2.17,41.67%,0.00%,3.67,9.08,5.67,12,0,0,2,3,2,5,54s,Cone,Cube,,,0.33,2.83,0,5.7,1.17,19.67,,
2023misjo,frc3620,3620,2023misjo-3620,Average Joes,Pit Scouting_Images/dc9e6cf0.Picture.235659.jpg,Swerve,Awesome,No,36.83,0.89,45.28%,4.08,2.58,1.50,1.00,6.00,0.00,1.00,0.00,3.08,7.5,6.83,1.58,1.5,41.67%,50.00%,15.58,14.33,5.67,5,1,6,4,1,1,6,43.83s,Cone,Cone ,,,0.58,6.17,6.666666667,5.7,2.25,36.83,,
2023misjo,frc3658,3658,2023misjo-3658,Robo - Beavers,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Tank,Small,Small light charge station,17.92,0.47,31.54%,2.67,0.33,2.33,0.25,0.67,0.33,0.17,0.08,2.42,0.58,5.67,0.17,2.25,50.00%,8.00%,3.81,6.25,6.33,11,0,1,2,2,2,6,55.79s,Cube,Cube,,,0.36,3.67,1,6.3,0.83,17.89,,
2023misjo,frc3875,3875,2023misjo-3875,Red Storm Robotics,,,,,25.75,0.79,41.31%,1.92,1.92,0.00,0.08,0.25,0.00,0.08,0.00,1.83,7.92,0,1.83,0,91.67%,58.00%,9.31,7.92,5.5,4,1,7,3,3,0,6,73.77s,,,,,0.28,6.58,7.666666667,5.5,1.50,25.47,,
2023misjo,frc4237,4237,2023misjo-4237,Team Lance-A-Bot,Pit Scouting_Images/5ef8060a.Picture.133012.jpg,Swerve,Sweet,26 inch? chassis,43.42,0.97,46.18%,3.5,3.00,0.50,0.75,4.00,0.33,0.67,0.08,2.75,10.83,1.08,2.33,0.42,100.00%,92.00%,17.83,11.92,10,1,0,11,0,0,0,12,49.09s,Cone,Cone ,,,0.5,10.50,11,10.0,2.67,42.75,,
2023misjo,frc4325,4325,2023misjo-4325,RoboRangers,Pit Scouting_Images/dafe7518.Picture.140746.jpg,Swerve,Grippy,,23.17,0.63,34.94%,3,2.08,0.92,0.67,0.75,2.50,0.25,0.42,2.33,7.25,2.08,1.83,0.5,25.00%,0.00%,5.47,9.33,7.67,12,0,0,2,1,0,9,57.94s,Cone,Cone ,,,0.44,3.83,0,7.7,1.42,23.22,,
2023misjo,frc4776,4776,2023misjo-4776,S.C.O.T.S. Bots,Pit Scouting_Images/b81e0d9a.Picture.140408.jpg,Swerve,Scorpion,,33.58,0.68,51.33%,4.08,1.92,2.17,0.42,1.25,0.50,0.33,0.08,3.67,7.17,7.17,1.58,2.08,75.00%,25.00%,8.33,14.33,8.67,8,1,3,0,2,0,10,36.78s,Cone,Neither,,,0.58,6.17,3.666666667,8.7,2.00,33.58,,
2023misjo,frc5056,5056,2023misjo-5056,MegaHurtz Robotics,,,,,7.00,0.13,12.37%,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,1.67,0,5.33,12,0,0,2,4,1,5,_,,,,,0.33,2.67,0,5.3,1.42,7.00,,
2023misjo,frc5110,5110,2023misjo-5110,Robo Herd,,,,,14.08,0.45,27.59%,2.75,1.25,1.50,0.83,2.50,0.00,0.83,0.00,1.92,1.17,4.92,0.42,1.5,33.33%,0.00%,3.75,6.08,3.5,12,0,0,3,6,0,3,70.31s,,,,,0.25,1.75,0,3.5,1.25,14.33,,
2023misjo,frc5152,5152,2023misjo-5152,Alotobots,,Swerve,Fast,"Fast, 180 degree arm, can move pieces",43.92,0.84,54.82%,4.58,2.17,2.42,0.00,0.00,0.00,0.00,0.00,4.58,8.83,9.92,2.17,2.42,83.33%,67.00%,12.36,18.75,9.67,1,3,8,0,0,1,11,29.48s,Cube,Cube,,,0.47,9.83,10,9.7,2.00,43.28,,
2023misjo,frc5182,5182,2023misjo-5182,Chieftainators,Pit Scouting_Images/f5333d27.Picture.002245.jpg,Mecanum,Sketchy,They just handed me a sheet to go off of.,17.42,0.37,27.27%,2.42,0.42,2.00,0.33,0.75,0.75,0.17,0.17,2.08,0.75,7.17,0.25,1.83,41.67%,0.00%,3.44,7.92,5,12,0,0,0,7,1,4,64.9s,Neither,Cone ,,,0.39,2.50,0,5.0,1.33,17.61,,
2023misjo,frc5227,5227,2023misjo-5227,Eagle Elite,Pit Scouting_Images/d97db742.Picture.132728.jpg,Tank,Support,"Prefers link, strong auto",18.83,0.58,30.04%,3.42,1.08,2.33,0.83,0.33,4.00,0.08,0.75,2.58,2.58,5.33,1,1.58,83.33%,0.00%,5.17,7.92,3.67,12,0,0,0,9,1,2,52.33s,Cube,Cube,,,0.17,1.83,0,3.7,1.25,19.25,,
