Key,User,Timestamp,Reports Qualifier,Prematch,Event,Match,Scouting Position,Team Number,Auto,Mobility,Auto Cones Bottom,Auto Cones Middle,Auto Cones Top,Auto Cubes Bottom,Auto Cubes Middle,Auto Cubes Top,Auto Charge Station,Teleop,Teleop Cones Bottom,Teleop Cones Middle,Teleop Cones Top,Teleop Cubes Bottom,Teleop Cubes Middle,Teleop Cubes Top,Links,Teleop Charge Station,Postmatch,Rank Points Earned,Alliance Score,Robot Score,Lookup Matches Ref,Coopertion Scored,Focus Areas,Notes
34f5d969,abc@gmail.com,3/10/2023 10:35:58,2023misjo-5227,,2023misjo,1,Blue 1,5227,,TRUE,0,0,0,0,0,1,Neither,,1,0,0,1,1,1,0,Parked,,1,52,20,2023misjo_qm1,FALSE,,Couldn't climb charge station
d50a598c,abc@gmail.com,3/10/2023 10:55:26,2023misjo-5623,,2023misjo,1,Blue 3,5623,,TRUE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,Parked,,0,52,5,2023misjo_qm1,FALSE,,Did not score a point
8ec55d12,abc@gmail.com,3/10/2023 10:58:09,2023misjo-5056,,2023misjo,1,Red 3,5056,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,2,Parked,,3,88,5,2023misjo_qm1,TRUE,,"Did not pick up a single piece, no auto"
c48ffb12,abc@gmail.com,3/10/2023 10:34:26,2023misjo-3875,,2023misjo,1,Red 2,3875,,TRUE,0,0,0,0,0,0,Engaged,,0,1,0,0,0,0,2,Engaged,,3,88,34,2023misjo_qm1,TRUE,,Had struggle climbing up charging station. Arms take time to correctly adjust to score properly.
1759ca01,abc@gmail.com,3/10/2023 11:07:18,2023misjo-9228,,2023misjo,2,Red 3,9228,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,1,0,0,1,Parked,,3,98,6,2023misjo_qm2,TRUE,,"No claw, pushes pieces. Pizza box."
b9ab9de4,abc@gmail.com,3/10/2023 11:07:36,2023misjo-6002,,2023misjo,2,Red 2,6002,,TRUE,0,0,1,0,0,0,Engaged,,0,0,2,0,0,1,1,Engaged,,3,98,48,2023misjo_qm2,TRUE,,"Stable deployment on the top row. Needs to flip arm 180° before receiving/deploying, so cycle time is not best."
6b3af10b,abc@gmail.com,3/10/2023 11:04:28,2023misjo-5462,,2023misjo,2,Blue 3,5462,,TRUE,0,0,0,0,0,1,Neither,,1,0,2,0,0,0,2,Engaged,,0,64,34,2023misjo_qm2,FALSE,,Likes putting cones in top row
69b65d81,abc@gmail.com,3/10/2023 11:04:13,2023misjo-9239,,2023misjo,2,Blue 1,9239,,TRUE,0,0,0,0,0,0,Neither,,0,0,0,3,0,0,2,Engaged,,0,64,22,2023misjo_qm2,FALSE,,Auto didn't work
1ec46028,abc@gmail.com,3/10/2023 11:18:40,2023misjo-5712,,2023misjo,3,Blue 1,5712,,TRUE,0,0,0,0,0,1,Docked,,0,2,2,0,2,1,2,Engaged,,2,73,57,2023misjo_qm3,TRUE,,Cool LEDs
74f7b512,abc@gmail.com,3/10/2023 11:17:53,2023misjo-7210,,2023misjo,3,Red 3,7210,,FALSE,0,0,0,0,0,0,Neither,,2,0,0,0,0,0,2,Engaged,,0,54,17,2023misjo_qm3,TRUE,,"Passive intake, another pizza box :)"
34c4c008,abc@gmail.com,3/10/2023 10:54:45,2023misjo-5675,,2023misjo,1,Red 1,5675,,FALSE,0,0,0,0,0,0,Neither,,0,0,2,0,0,4,0,Engaged,,1,88,40,2023misjo_qm1,FALSE,,
eef5831f,abc@gmail.com,3/10/2023 11:03:49,2023misjo-2767,,2023misjo,2,Red 1,2767,,TRUE,0,0,1,0,0,0,Neither,,0,0,0,1,0,0,0,Engaged,,3,98,21,2023misjo_qm2,FALSE,,Piece stuck in robot
fe99deb5,abc@gmail.com,3/10/2023 11:18:55,2023misjo-5980,,2023misjo,3,Red 1,5980,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,1,0,0,0,None of the above,,0,54,2,2023misjo_qm3,TRUE,,Drive problems
1a44ed80,abc@gmail.com,3/10/2023 11:18:21,2023misjo-5843,,2023misjo,3,Blue 3,5843,,FALSE,0,0,0,0,0,0,Neither,,1,0,1,0,0,0,2,Engaged,,2,73,20,2023misjo_qm3,TRUE,,Priorities comes only
f198087f,abc@gmail.com,3/10/2023 11:18:52,2023misjo-4325,,2023misjo,3,Red 2,4325,,FALSE,1,0,0,0,0,0,Neither,,0,0,2,0,0,1,2,Engaged,,0,54,31,2023misjo_qm3,TRUE,,"Claw can rotate 180°, but struggles to deploy because the claw is all manually controlled."
d99ea8bf,abc@gmail.com,3/10/2023 11:26:47,2023misjo-5927,,2023misjo,4,Red 3,5927,,TRUE,0,0,0,0,0,0,Neither,,2,0,0,0,0,0,0,Engaged,,2,47,17,2023misjo_qm4,FALSE,,"Aggressive, vaccum attachment for arm"
bc97def9,abc@gmail.com,3/10/2023 11:27:07,2023misjo-94,,2023misjo,4,Blue 1,94,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,None of the above,,0,35,0,2023misjo_qm4,FALSE,,Fell over...
06f56876,abc@gmail.com,3/10/2023 11:26:51,2023misjo-7814,,2023misjo,4,Blue 3,7814,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,1,Parked,,0,35,4,2023misjo_qm4,TRUE,,Did not pick up any cones or cubes
7c3e1ed3,abc@gmail.com,3/10/2023 11:33:06,2023misjo-1940,,2023misjo,4,Red 2,1940,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,Engaged,,2,47,10,2023misjo_qm4,FALSE,,"Cannot pick up pieces, must be dropped down from chute. They missed every single piece."
065f8b03,abc@gmail.com,3/10/2023 11:27:05,2023misjo-5110,,2023misjo,4,Red 1,5110,,FALSE,1,0,0,0,0,0,Neither,,0,0,1,0,0,1,0,Parked,,2,47,15,2023misjo_qm4,FALSE,,Very slow
b2fe8a26,abc@gmail.com,3/10/2023 11:39:07,2023misjo-5982,,2023misjo,5,Red 1,5982,,TRUE,0,0,0,0,0,0,Neither,,2,0,0,0,0,0,0,Engaged,,3,40,17,2023misjo_qm5,FALSE,,
a9ba458a,abc@gmail.com,3/10/2023 11:38:42,2023misjo-6642,,2023misjo,5,Red 3,6642,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,None of the above,,3,40,0,2023misjo_qm5,FALSE,,"Janky controls, claw gets stuck behind bumper"
981562f3,abc@gmail.com,3/10/2023 11:39:03,2023misjo-3604,,2023misjo,5,Blue 3,3604,,TRUE,1,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,None of the above,,0,21,6,2023misjo_qm5,FALSE,,Fell over at the beginning
f3e65702,abc@gmail.com,3/10/2023 11:38:46,2023misjo-7809,,2023misjo,5,Blue 1,7809,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,1,0,0,0,Engaged,,0,21,12,2023misjo_qm5,FALSE,,Alliance robot fell over in auto
e051a520,abc@gmail.com,3/10/2023 11:43:26,2023misjo-5535,,2023misjo,5,Red 2,5535,,TRUE,0,0,0,0,1,0,Docked,,0,0,1,0,0,0,0,Engaged,,3,40,30,2023misjo_qm5,FALSE,,Had a communication issue? and did not move for a while.
3fdb85a0,abc@gmail.com,3/10/2023 10:33:14,2023misjo-3620,,2023misjo,1,Blue 2,3620,,FALSE,0,0,1,0,0,0,Neither,,0,0,1,0,0,1,1,Docked,,0,48,24,2023misjo_qm1,FALSE,,Claw doesn't hold well
8b37b516,abc@gmail.com,3/10/2023 11:06:30,2023misjo-3658,,2023misjo,2,Blue 2,3658,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,0,Parked,,0,64,2,2023misjo_qm2,FALSE,,Robot got stuck
544953a7,abc@gmail.com,3/10/2023 11:17:33,2023misjo-3452,,2023misjo,3,Blue 2,3452,,TRUE,0,0,0,0,0,0,Neither,,0,0,0,0,0,0,2,None of the above,,2,73,6,2023misjo_qm3,TRUE,,Robot broke
c79fdf18,abc@gmail.com,3/10/2023 11:26:12,2023misjo-4776,,2023misjo,4,Blue 2,4776,,TRUE,0,0,0,0,0,0,Docked,,0,0,1,0,0,2,1,Engaged,,0,35,38,2023misjo_qm4,TRUE,,Quick
59cd7b05,abc@gmail.com,3/10/2023 11:38:18,2023misjo-6588,,2023misjo,5,Blue 2,6588,,TRUE,0,0,0,0,0,0,Neither,,1,0,0,0,0,0,0,Engaged,,0,21,15,2023misjo_qm5,FALSE,,Slow
49fcd0c2,abc@gmail.com,3/10/2023 11:41:34,2023misjo-5182,,2023misjo,6,Blue 2,5182,,FALSE,0,0,0,0,0,0,Neither,,0,0,0,1,1,1,2,Parked,,0,105,12,2023misjo_qm6,FALSE,,
0160132e,abc@gmail.com,3/10/2023 11:52:53,2023misjo-9208,,2023misjo,6,Blue 3,9208,,TRUE,0,0,1,0,0,0,Docked,,1,0,0,0,0,4,0,Docked,,0,71,45,2023misjo_qm6,FALSE,,None
ca6b42c1,abc@gmail.com,3/10/2023 11:52:27,2023misjo-5247,,2023misjo,6,Red 1,5247,,FALSE,0,0,0,0,0,0,Neither,,0,0,1,0,0,0,3,Parked,,3,105,12,2023misjo_qm6,TRUE,,
5df7d57b,abc@gmail.com,3/10/2023 11:52:36,2023misjo-4237,,2023misjo,6,Red 3,4237,,TRUE,0,0,0,0,0,0,Engaged,,0,0,3,0,0,0,3,Engaged,,3,105,45,2023misjo_qm6,TRUE,,
6690b49c,abc@gmail.com,3/10/2023 12:01:00,2023misjo-5227,,2023misjo,7,Blue 2,5227,,TRUE,0,0,0,0,0,1,Neither,,2,0,0,0,1,0,1,Docked,,0,104,21,2023misjo_qm7,FALSE,,
cc5cd2e2,abc@gmail.com,3/10/2023 12:01:08,2023misjo-3452,,2023misjo,7,Blue 3,3452,,FALSE,0,0,0,0,0,0,Docked,,0,0,0,0,0,0,1,None of the above,,0,62,10,2023misjo_qm7,FALSE,,Fell over
