Key,User,Timestamp,Reports Qualifier,Event,Team Number,Team Name,Focus Hight,Drive Train,Width,Buddy Climb,Preload type,Gamepeice Prefrence,Vision,Picture,One-Word,Notes,Lookup Name Ref
dc9e6cf0,abc@gmail.com,12/30/1899 18:35:29,2023misjo-3620,2023misjo,3620,Average Joes,High,Swerve,,,Cone,Cone ,Camera,Pit Scouting_Images/dc9e6cf0.Picture.235659.jpg,Awesome,No,
db0951a1,abc@gmail.com,12/30/1899 18:38:53,2023misjo-5462,2023misjo,5462,2PawR,Middle,Tank,,,Cone,Neither,Both,Pit Scouting_Images/db0951a1.Picture.235923.jpg,Wheels,10 wheels,
414abe19,abc@gmail.com,12/30/1899 18:41:04,2023misjo-9239,2023misjo,9239,Panthers robotics,Low,Tank,,,Cube,Cube,Neither,Pit Scouting_Images/414abe19.Picture.235929.jpg,Bad,Good at driving it,
c4eb4927,abc@gmail.com,12/30/1899 18:44:01,2023misjo-3865,2023misjo,3875,Red Storm,High,Tank,,,Cone,Cone ,Lime-Light,,Biggest bird,Do balancing,
ff4e7acd,abc@gmail.com,12/30/1899 18:46:50,2023misjo-50506,2023misjo,5056,MegaHurtz,High,Tank,,,Cube,Neither,None,Pit Scouting_Images/ff4e7acd.Picture.235941.jpg,Capable,Fast pick up and place time,
a67fd07f,abc@gmail.com,12/30/1899 18:52:00,2023misjo-9208,2023misjo,9208,Eddies Circuit,High,Tank,,,Cube,Cone ,Camera,Pit Scouting_Images/a67fd07f.Picture.235947.jpg,Reliable,Brake for charge station,
f51bf399,abc@gmail.com,12/30/1899 19:04:06,2023misjo-5843,2023misjo,5843,FLURB,High,Swerve,,,Cone,Neither,Lime-Light,Pit Scouting_Images/f51bf399.Picture.001518.jpg,googley-eyes,,
2c548ab9,abc@gmail.com,12/30/1899 19:08:28,2023misjo-5247,2023misjo,5247,Red Devil Robotics,High,Tank,,,Cone,Neither,Camera,Pit Scouting_Images/2c548ab9.Picture.001524.jpg,Tank,Lot of 3d printed parts,
f5333d27,abc@gmail.com,12/30/1899 19:15:52,2023misjo-5182,2023misjo,5182,The Chieftainators,High,Mecanum,,,Neither,Cone ,Neither,Pit Scouting_Images/f5333d27.Picture.002245.jpg,Sketchy,They just handed me a sheet to go off of.,
b5fd0de2,abc@gmail.com,12/30/1899 19:18:53,2023misjo-5623,2023misjo,5623,Robotic Rams,High,Tank,,,Cube,Neither,Neither,Pit Scouting_Images/b5fd0de2.Picture.002639.jpg,Win,,
b2974e59,abc@gmail.com,12/30/1899 19:22:19,2023misjo-5980,2023misjo,5980,East Grand Rapids Robotics,High,Swerve,,,Neither,Neither,Lime-Light,Pit Scouting_Images/b2974e59.Picture.002646.jpg,Bug,,
6b84818f,abc@gmail.com,12/30/1899 19:39:53,2023misjo-8126,2023misjo,8126,Control Freaks,Middle,Swerve,,,Cube,Neither,Neither,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,No,N/A,
9881199f,abc@gmail.com,12/30/1899 19:41:38,2023misjo-5712,2023misjo,5712,Hemlock's Gray Matter,High,Swerve,,,Cube,Neither,Both,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Offensive,,
0f9c92b0,abc@gmail.com,12/30/1899 19:43:52,2023misjo-3658,2023misjo,3658,Robo - Beavers,Middle,Tank,,,Cube,Cube,Camera,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Small,Small light charge station,
4a75e42f,abc@gmail.com,12/30/1899 19:45:30,2023misjo-7809,2023misjo,7809,Valhalla Nation,Middle,Cade,,,Cone,Cone ,Neither,Unable to load image data. Image may be missing or upload size may be too large for this device. The image may still be in the camera roll on the device.,Pig,,
c6a2d4c1,abc@gmail.com,12/30/1899 19:57:23,2023misjo-74,2023misjo,74,Chaos,High,Swerve,,,Cone,Cone ,Lime-Light,Pit Scouting_Images/c6a2d4c1.Picture.010003.jpg,CHAOS,,
9e96cc3e,abc@gmail.com,12/30/1899 19:13:05,2023misjo-5152,2023misjo,5152,Alotobots,High,Swerve,,,Cube,Cube,Neither,,Fast,"Fast, 180 degree arm, can move pieces",
f69d0d8e,abc@gmail.com,12/30/1899 19:15:48,2023misjo-9228,2023misjo,9228,Cougar Coders,Low,Tank,,,Neither,Cube,Neither,,Fast,Can brake,
b19496ec,abc@gmail.com,12/30/1899 20:05:56,2023misjo-2959,2023misjo,2959,CW Tech Roboyarians,Middle,Swerve,,,Cube,Neither,Limelight,,Defense,Good defense because of swerve drive,
76b8d1c2,abc@gmail.com,12/30/1899 20:11:21,2023misjo-3604,2023misjo,3604,Goon Squad,High,Swerve,,,Cone,Cube,Camera,,"dAVE (heavy, big)","Spaghetti pickup, cube pickup is good",
d97db742,abc@gmail.com,12/30/1899 8:25:16,2023misjo-5227,2023misjo,5227,Eagle Elite,Middle,Tank,,,Cube,Cube,Neither,Pit Scouting_Images/d97db742.Picture.132728.jpg,Support,"Prefers link, strong auto",
5ef8060a,abc@gmail.com,12/30/1899 8:24:48,2023misjo-4237,2023misjo,4237,Lance-a-bot,High,Swerve,,,Cone,Cone ,Both,Pit Scouting_Images/5ef8060a.Picture.133012.jpg,Sweet,26 inch? chassis,
a666b168,abc@gmail.com,12/30/1899 8:31:55,2023misjo-3452,2023misjo,3452,GreengineerZ,High,Swerve,,,Cube,Cone ,Neither,Pit Scouting_Images/a666b168.Picture.134128.jpg,Crazy,,
b6be9cc4,abc@gmail.com,12/30/1899 8:47:30,2023misjo-1940,2023misjo,1940,Tech Tigers,Middle,Tank,,,Cube,Cube,Camera,Pit Scouting_Images/b6be9cc4.Picture.135502.jpg,Fast,,
b81e0d9a,abc@gmail.com,12/30/1899 8:59:42,2023misjo-4776,2023misjo,4776,Scots Bots,High,Swerve,,,Cone,Neither,Both,Pit Scouting_Images/b81e0d9a.Picture.140408.jpg,Scorpion,,
955a57cf,abc@gmail.com,12/30/1899 9:02:40,2023misjo-5610,2023misjo,5610,Turbulence,High,Tank,,,Cone,Cube,Camera,Pit Scouting_Images/955a57cf.Picture.140518.jpg,Strong,"Very good at charging, not good at auto.",
dafe7518,abc@gmail.com,12/30/1899 9:00:07,2023misjo-4325,2023misjo,4325,Cassopolis Roborangers,High,Swerve,,,Cone,Cone ,Both,Pit Scouting_Images/dafe7518.Picture.140746.jpg,Grippy,,
6a0e5fc1,abc@gmail.com,12/30/1899 9:08:26,2023misjo-6002,2023misjo,6002,ZooBotics,High,Swerve,,,Cone,Cone ,Lime-Light,Pit Scouting_Images/6a0e5fc1.Picture.141017.jpg,Light,,
a620815f,abc@gmail.com,12/30/1899 9:00:09,2023misjo-5535,2023misjo,5535,Bionic Bison,Middle,Swerve,,,Cube,Cube,Lime-Light,Pit Scouting_Images/a620815f.Picture.141222.jpg,Special,None,
efd204b8,abc@gmail.com,12/30/1899 9:08:41,2023misjo-5982,2023misjo,5982,Circuits of Oestruction,High,Swerve,,,Neither,Cube,Camera,Pit Scouting_Images/efd204b8.Picture.141531.jpg,Quick,,
